10326,5514,8001,8901,10/25/2024,11/23/2024,$0.00
10327,5514,8002,8902,10/29/2024,11/23/2024,$0.00
10328,5514,8003,8903,11/05/2024,11/23/2024,$0.00
10329,5514,8004,,10/23/2024,11/23/2024,$50.00
10330,5514,8005,,10/02/2024,11/23/2024,$50.00
10331,5514,8006,,10/11/2024,11/23/2024,$50.00
10332,5514,8007,,10/19/2024,11/23/2024,$50.00
10333,5514,8008,,10/25/2024,11/23/2024,$50.00
10334,5514,8009,,10/30/2024,11/23/2024,$50.00
10335,5514,8010,,11/02/2024,11/23/2024,$50.00
10336,5514,8011,,11/08/2024,11/23/2024,$50.00
10337,5514,8012,,11/15/2024,11/23/2024,$50.00
10338,5514,8013,,11/19/2024,11/23/2024,$50.00
